style,intensity,topic,caption
wholesome,0.99,college life,"college life is hard, but you’re doing your best."
wholesome,0.83,monday mornings,"No matter what, monday mornings doesn’t define your worth."
dark,0.66,performance reviews,performance reviews never forgets. Never forgives.
dark,0.31,exams,"Eventually, exams gets us all."
genz,0.85,meetings,me dealing with meetings: absolutely not.
wholesome,0.29,salary negotiations,You’re stronger than salary negotiations.
genz,0.2,salary negotiations,salary negotiations?? nah bestie
genz,0.53,side hustles,side hustles but make it emotionally exhausting.
dark,0.45,side hustles,"Another day, another round of side hustles."
dark,0.53,college life,college life is just a reminder that time is winning.
genz,0.74,performance reviews,performance reviews?? nah bestie
wholesome,0.63,exams,"exams is hard, but you’re doing your best."
dark,0.55,procrastination,procrastination never forgets. Never forgives.
sarcastic,0.49,exams,Nothing screams success like exams.
corporate,0.57,meetings,Leveraging meetings for improved outcomes.
genz,0.71,group projects,group projects is literally my villain origin story
wholesome,0.87,exams,"exams is hard, but you’re doing your best."
genz,0.39,procrastination,procrastination is literally my villain origin story
wholesome,0.5,interviews,One step at a time with interviews. You’ve got this.
wholesome,0.26,presentations,"presentations is hard, but you’re doing your best."
wholesome,0.57,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
corporate,0.47,long commutes,Optimizing bandwidth to address long commutes.
genz,0.98,side hustles,side hustles?? nah bestie
genz,0.98,presentations,presentations?? nah bestie
genz,0.85,salary negotiations,me dealing with salary negotiations: absolutely not.
dark,0.51,monday mornings,monday mornings is just a reminder that time is winning.
wholesome,0.85,interviews,"No matter what, interviews doesn’t define your worth."
genz,0.55,long commutes,long commutes but make it emotionally exhausting.
sarcastic,0.62,monday mornings,Nothing screams success like monday mornings.
genz,0.47,long commutes,long commutes but make it emotionally exhausting.
genz,0.62,monday mornings,monday mornings is literally my villain origin story
sarcastic,0.83,college life,I love how college life ruins everything.
sarcastic,0.2,startups,"Oh sure, because startups always works perfectly."
sarcastic,0.27,group projects,I love how group projects ruins everything.
wholesome,0.25,college life,You’re stronger than college life.
wholesome,0.28,side hustles,"No matter what, side hustles doesn’t define your worth."
corporate,0.53,group projects,Optimizing bandwidth to address group projects.
dark,0.7,emails,"Another day, another round of emails."
corporate,0.44,monday mornings,Aligning stakeholders around monday mornings.
genz,0.7,emails,emails is literally my villain origin story
corporate,0.25,performance reviews,Optimizing bandwidth to address performance reviews.
wholesome,0.75,interviews,One step at a time with interviews. You’ve got this.
dark,0.51,office politics,"Another day, another round of office politics."
dark,0.67,monday mornings,monday mornings never forgets. Never forgives.
corporate,0.23,job applications,Driving synergies to resolve job applications.
sarcastic,0.96,salary negotiations,I love how salary negotiations ruins everything.
dark,0.72,interviews,interviews is just a reminder that time is winning.
wholesome,0.26,burnout,One step at a time with burnout. You’ve got this.
sarcastic,0.96,emails,Nothing screams success like emails.
dark,0.79,emails,emails never forgets. Never forgives.
genz,0.23,procrastination,procrastination is literally my villain origin story
dark,0.75,salary negotiations,"Another day, another round of salary negotiations."
wholesome,0.81,procrastination,One step at a time with procrastination. You’ve got this.
genz,0.64,procrastination,procrastination but make it emotionally exhausting.
wholesome,0.59,college life,"No matter what, college life doesn’t define your worth."
sarcastic,0.56,deadlines,"deadlines? Yeah, what could possibly go wrong."
genz,0.25,exams,exams?? nah bestie
sarcastic,0.78,job applications,"job applications? Yeah, what could possibly go wrong."
dark,0.49,meetings,"Another day, another round of meetings."
genz,0.36,side hustles,side hustles but make it emotionally exhausting.
corporate,0.93,deadlines,Optimizing bandwidth to address deadlines.
corporate,0.77,burnout,Optimizing bandwidth to address burnout.
corporate,0.57,office politics,Driving synergies to resolve office politics.
corporate,0.77,startups,Optimizing bandwidth to address startups.
corporate,0.92,procrastination,Aligning stakeholders around procrastination.
dark,0.81,burnout,burnout never forgets. Never forgives.
dark,0.75,meetings,"Another day, another round of meetings."
genz,0.62,performance reviews,performance reviews but make it emotionally exhausting.
dark,0.35,work-life balance,"Another day, another round of work-life balance."
genz,0.67,presentations,presentations is literally my villain origin story
sarcastic,0.95,procrastination,"Oh sure, because procrastination always works perfectly."
sarcastic,0.94,job applications,"job applications? Yeah, what could possibly go wrong."
corporate,0.31,waking up early,Leveraging waking up early for improved outcomes.
sarcastic,1.0,startups,Nothing screams success like startups.
dark,0.42,monday mornings,"Another day, another round of monday mornings."
genz,0.69,office politics,office politics?? nah bestie
genz,0.96,work-life balance,work-life balance is literally my villain origin story
wholesome,0.65,startups,You’re stronger than startups.
corporate,0.7,procrastination,Optimizing bandwidth to address procrastination.
genz,0.85,college life,college life?? nah bestie
corporate,0.87,group projects,Driving synergies to resolve group projects.
sarcastic,0.82,procrastination,"Oh sure, because procrastination always works perfectly."
wholesome,0.97,exams,One step at a time with exams. You’ve got this.
corporate,0.92,job applications,Leveraging job applications for improved outcomes.
dark,0.49,performance reviews,"Eventually, performance reviews gets us all."
wholesome,0.78,work-life balance,One step at a time with work-life balance. You’ve got this.
corporate,0.81,meetings,Optimizing bandwidth to address meetings.
wholesome,0.58,college life,You’re stronger than college life.
dark,0.84,monday mornings,monday mornings is just a reminder that time is winning.
corporate,0.22,salary negotiations,Driving synergies to resolve salary negotiations.
sarcastic,0.62,office politics,"office politics? Yeah, what could possibly go wrong."
dark,0.28,meetings,"Eventually, meetings gets us all."
corporate,0.81,long commutes,Driving synergies to resolve long commutes.
corporate,0.54,startups,Optimizing bandwidth to address startups.
wholesome,0.62,job applications,You’re stronger than job applications.
dark,0.37,presentations,presentations never forgets. Never forgives.
genz,0.76,college life,college life is literally my villain origin story
genz,0.37,college life,college life but make it emotionally exhausting.
genz,0.4,performance reviews,performance reviews but make it emotionally exhausting.
dark,0.92,interviews,interviews is just a reminder that time is winning.
genz,0.98,performance reviews,me dealing with performance reviews: absolutely not.
dark,0.8,deadlines,"Another day, another round of deadlines."
corporate,0.34,side hustles,Optimizing bandwidth to address side hustles.
corporate,0.91,side hustles,Aligning stakeholders around side hustles.
sarcastic,0.43,work-life balance,Nothing screams success like work-life balance.
corporate,0.53,college life,Optimizing bandwidth to address college life.
genz,0.63,college life,college life is literally my villain origin story
dark,0.7,presentations,"Another day, another round of presentations."
dark,0.66,college life,college life is just a reminder that time is winning.
genz,0.58,meetings,meetings is literally my villain origin story
sarcastic,0.33,presentations,"presentations? Yeah, what could possibly go wrong."
genz,0.44,performance reviews,performance reviews but make it emotionally exhausting.
wholesome,0.68,performance reviews,You’re stronger than performance reviews.
sarcastic,0.4,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
dark,0.45,work-life balance,work-life balance never forgets. Never forgives.
sarcastic,0.57,presentations,"Oh sure, because presentations always works perfectly."
genz,0.83,presentations,presentations is literally my villain origin story
sarcastic,0.56,waking up early,I love how waking up early ruins everything.
corporate,0.44,waking up early,Optimizing bandwidth to address waking up early.
dark,0.41,office politics,office politics is just a reminder that time is winning.
genz,0.44,meetings,meetings?? nah bestie
corporate,0.92,office politics,Aligning stakeholders around office politics.
corporate,0.77,job applications,Aligning stakeholders around job applications.
wholesome,0.98,interviews,"No matter what, interviews doesn’t define your worth."
